id,name,version,side,hp,close,medium,long,destruction,avatar,panel
"sledge","SLEDGE","off","attack","health_5","[""yellow_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""orange_dice"",""orange_dice""]","[""yellow_dice"",""orange_dice"",""orange_dice""]","orange_destruction","sledge.svg","中文 (1).jpg"
"thatcher","THATCHER","off","attack","health_5","[""orange_dice"",""orange_dice"",""red_dice""]","[""broken_yellow_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""orange_dice"",""red_dice""]","yellow_destruction","thatcher.svg","中文 (2).jpg"
"ash","ASH","off","attack","health_4","[""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""orange_dice"",""red_dice""]","orange_destruction","ash.svg","中文 (3).jpg"
"thermite","THERMITE","off","attack","health_5","[""yellow_dice"",""orange_dice"",""red_dice""]","[""broken_yellow_dice"",""orange_dice"",""orange_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""red_dice""]","orange_destruction","thermite.svg","中文 (4).jpg"
"blitz","BLITZ","off","attack","health_5","[""yellow_dice"",""yellow_dice"",""orange_dice"",""orange_dice""]","[""yellow_dice"",""yellow_dice"",""yellow_dice"",""orange_dice""]","[""yellow_dice"",""yellow_dice"",""yellow_dice"",""orange_dice""]","yellow_destruction","blitz.svg","中文 (5).jpg"
"iq","IQ","off","attack","health_4","[""yellow_dice"",""red_dice""]","[""yellow_dice"",""red_dice"",""red_dice""]","[""orange_dice"",""orange_dice"",""red_dice""]","yellow_destruction","iq.svg","中文 (6).jpg"
"glaz","GLAZ","off","attack","health_5","[""yellow_dice"",""red_dice""]","[""red_dice"",""red_dice""]","[""yellow_dice"",""orange_dice"",""red_dice"",""red_dice""]","orange_destruction","glaz.svg","中文 (7).jpg"
"twitch","TWITCH","off","attack","health_5","[""broken_yellow_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""broken_orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""red_dice""]","yellow_destruction","twitch.svg","中文 (8).jpg"
"fuze","FUZE","off","attack","health_6","[""orange_dice"",""red_dice""]","[""broken_orange_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""orange_dice"",""red_dice""]","yellow_destruction","fuze.svg","中文 (9).jpg"
"montagne","MONTAGNE","off","attack","health_6","[""yellow_dice"",""broken_red_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""red_dice""]","[""red_dice""]","yellow_destruction","montagne.svg","中文 (10).jpg"
"smoke","SMOKE","off","defense","health_5","[""broken_orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""broken_orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""orange_dice""]","orange_destruction","smoke.svg","中文 (11).jpg"
"mute","MUTE","off","defense","health_5","[""orange_dice"",""red_dice"",""red_dice""]","[""broken_yellow_dice"",""red_dice"",""red_dice""]","[""orange_dice"",""orange_dice""]","orange_destruction","mute.svg","中文 (12).jpg"
"castle","CASTLE","off","defense","health_5","[""broken_yellow_dice"",""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""red_dice""]","orange_destruction","castle.svg","中文 (13).jpg"
"pulse","PULSE","off","defense","health_4","[""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""orange_dice"",""orange_dice""]","yellow_destruction","pulse.svg","中文 (14).jpg"
"jager","JAGER","off","defense","health_5","[""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""orange_dice"",""orange_dice""]","[""yellow_dice"",""orange_dice"",""orange_dice""]","yellow_destruction","jager.svg","中文 (15).jpg"
"bandit","BANDIT","off","defense","health_4","[""broken_yellow_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""yellow_dice"",""orange_dice""]","[""yellow_dice"",""yellow_dice"",""yellow_dice""]","yellow_destruction","bandit.svg","中文 (16).jpg"
"doc","DOC","off","defense","health_6","[""yellow_dice"",""orange_dice"",""red_dice""]","[""yellow_dice"",""orange_dice"",""red_dice""]","[""orange_dice"",""red_dice""]","yellow_destruction","doc.svg","中文 (17).jpg"
"kapkan","KAPKAN","off","defense","health_5","[""broken_yellow_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""broken_yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""red_dice""]","yellow_destruction","kapkan.svg","中文 (18).jpg"
"tachanka","TACHANKA","off","defense","health_6","[""red_dice"",""red_dice""]","[""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""red_dice"",""red_dice""]","orange_destruction","tachanka.svg","中文 (19).jpg"
"rook","ROOK","off","defense","health_6","[""orange_dice"",""red_dice""]","[""orange_dice"",""red_dice""]","[""yellow_dice"",""orange_dice"",""red_dice""]","yellow_destruction","rook.svg","中文 (20).jpg"
"buck","BUCK","off","attack","health_5","[""broken_yellow_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""red_dice"",""red_dice""]","[""red_dice"",""red_dice""]","orange_destruction","buck.svg","中文 (21).jpg"
"blackbeard","BLACKBEARD","off","attack","health_5","[""broken_orange_dice"",""red_dice""]","[""broken_orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""broken_orange_dice"",""red_dice"",""red_dice""]","yellow_destruction","blackbeard.svg","中文 (22).jpg"
"capitao","CAPITAO","off","attack","health_4","[""orange_dice"",""red_dice""]","[""broken_yellow_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""orange_dice"",""red_dice""]","yellow_destruction","capitao.svg","中文 (23).jpg"
"hibana","HIBANA","off","attack","health_4","[""broken_yellow_dice"",""yellow_dice"",""orange_dice""]","[""broken_orange_dice"",""orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""orange_dice"",""red_dice""]","yellow_destruction","hibana.svg","中文 (24).jpg"
"frost","FROST","off","defense","health_5","[""yellow_dice"",""orange_dice"",""red_dice""]","[""broken_yellow_dice"",""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""red_dice""]","yellow_destruction","frost.svg","中文 (25).jpg"
"valkyrie","VALKYRIE","off","defense","health_5","[""broken_yellow_dice"",""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""yellow_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""red_dice""]","yellow_destruction","valkyrie.svg","中文 (26).jpg"
"caveira","CAVEIRA","off","defense","health_4","[""broken_orange_dice"",""broken_orange_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""yellow_dice"",""red_dice""]","[""yellow_dice"",""yellow_dice"",""yellow_dice""]","yellow_destruction","caveira.svg","中文 (27).jpg"
"echo","ECHO","off","defense","health_6","[""red_dice"",""red_dice""]","[""yellow_dice"",""red_dice"",""red_dice""]","[""yellow_dice"",""orange_dice"",""red_dice""]","yellow_destruction","echo.svg","中文 (28).jpg"
