id,name,version,side,hp,close,medium,long,destruction,avatar,panel
sledge,SLEDGE,off,attack,5,"[""»Æ"",""³È"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""³È"",""³È""]","[""»Æ"",""³È"",""³È""]",³È,sledge.svg,ÖÐÎÄ (1).jpg
thatcher,THATCHER,off,attack,5,"[""³È"",""³È"",""ºì""]","[""ÁÑ»Æ"",""³È"",""ºì"",""ºì""]","[""³È"",""ºì""]",»Æ,thatcher.svg,ÖÐÎÄ (2).jpg
ash,ASH,off,attack,4,"[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì"",""ºì""]","[""³È"",""ºì""]",³È,ash.svg,ÖÐÎÄ (3).jpg
thermite,THERMITE,off,attack,5,"[""»Æ"",""³È"",""ºì""]","[""ÁÑ»Æ"",""³È"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",³È,thermite.svg,ÖÐÎÄ (4).jpg
blitz,BLITZ,off,attack,5,"[""»Æ"",""»Æ"",""³È"",""³È""]","[""»Æ"",""»Æ"",""»Æ"",""³È""]","[""»Æ"",""»Æ"",""»Æ"",""³È""]",»Æ,blitz.svg,ÖÐÎÄ (5).jpg
iq,IQ,off,attack,4,"[""»Æ"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""³È"",""³È"",""ºì""]",»Æ,iq.svg,ÖÐÎÄ (6).jpg
glaz,GLAZ,off,attack,5,"[""»Æ"",""ºì""]","[""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì"",""ºì""]",³È,glaz.svg,ÖÐÎÄ (7).jpg
twitch,TWITCH,off,attack,5,"[""ÁÑ»Æ"",""³È"",""ºì"",""ºì""]","[""ÁÑ³È"",""ºì"",""ºì""]","[""»Æ"",""ºì""]",»Æ,twitch.svg,ÖÐÎÄ (8).jpg
fuze,FUZE,off,attack,6,"[""³È"",""ºì""]","[""ÁÑ³È"",""³È"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""³È"",""ºì""]",»Æ,fuze.svg,ÖÐÎÄ (9).jpg
montagne,MONTAGNE,off,attack,6,"[""»Æ"",""ÁÑºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",["ºì"],»Æ,montagne.svg,ÖÐÎÄ (10).jpg
smoke,SMOKE,off,defense,5,"[""ÁÑ³È"",""ºì"",""ºì""]","[""»Æ"",""ÁÑ³È"",""ºì"",""ºì""]","[""»Æ"",""³È""]",³È,smoke.svg,ÖÐÎÄ (11).jpg
mute,MUTE,off,defense,5,"[""³È"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""ºì"",""ºì""]","[""³È"",""³È""]",³È,mute.svg,ÖÐÎÄ (12).jpg
castle,CASTLE,off,defense,5,"[""ÁÑ»Æ"",""»Æ"",""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",³È,castle.svg,ÖÐÎÄ (13).jpg
pulse,PULSE,off,defense,4,"[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""³È""]",»Æ,pulse.svg,ÖÐÎÄ (14).jpg
jager,JAGER,off,defense,5,"[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""³È""]","[""»Æ"",""³È"",""³È""]",»Æ,jager.svg,ÖÐÎÄ (15).jpg
bandit,BANDIT,off,defense,4,"[""ÁÑ»Æ"",""³È"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""»Æ"",""³È""]","[""»Æ"",""»Æ"",""»Æ""]",»Æ,bandit.svg,ÖÐÎÄ (16).jpg
doc,DOC,off,defense,6,"[""»Æ"",""³È"",""ºì""]","[""»Æ"",""³È"",""ºì""]","[""³È"",""ºì""]",»Æ,doc.svg,ÖÐÎÄ (17).jpg
kapkan,KAPKAN,off,defense,5,"[""ÁÑ»Æ"",""³È"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",»Æ,kapkan.svg,ÖÐÎÄ (18).jpg
tachanka,TACHANKA,off,defense,6,"[""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]",³È,tachanka.svg,ÖÐÎÄ (19).jpg
rook,ROOK,off,defense,6,"[""³È"",""ºì""]","[""³È"",""ºì""]","[""»Æ"",""³È"",""ºì""]",»Æ,rook.svg,ÖÐÎÄ (20).jpg
buck,BUCK,off,attack,5,"[""ÁÑ»Æ"",""³È"",""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""ºì"",""ºì""]",³È,buck.svg,ÖÐÎÄ (21).jpg
blackbeard,BLACKBEARD,off,attack,5,"[""ÁÑ³È"",""ºì""]","[""ÁÑ³È"",""ºì"",""ºì""]","[""»Æ"",""ÁÑ³È"",""ºì"",""ºì""]",»Æ,blackbeard.svg,ÖÐÎÄ (22).jpg
capitao,CAPITAO,off,attack,4,"[""³È"",""ºì""]","[""ÁÑ»Æ"",""³È"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì""]",»Æ,capitao.svg,ÖÐÎÄ (23).jpg
hibana,HIBANA,off,attack,4,"[""ÁÑ»Æ"",""»Æ"",""³È""]","[""ÁÑ³È"",""³È"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì""]",»Æ,hibana.svg,ÖÐÎÄ (24).jpg
frost,FROST,off,defense,5,"[""»Æ"",""³È"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",»Æ,frost.svg,ÖÐÎÄ (25).jpg
valkyrie,VALKYRIE,off,defense,5,"[""ÁÑ»Æ"",""»Æ"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""»Æ"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",»Æ,valkyrie.svg,ÖÐÎÄ (26).jpg
caveira,CAVEIRA,off,defense,4,"[""ÁÑ³È"",""ÁÑ³È"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""»Æ"",""ºì""]","[""»Æ"",""»Æ"",""»Æ""]",»Æ,caveira.svg,ÖÐÎÄ (27).jpg
echo,ECHO,off,defense,6,"[""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì""]",»Æ,echo.svg,ÖÐÎÄ (28).jpg
jackal,JACKAL,off,attack,5,"[""»Æ"",""»Æ"",""ÁÑ³È"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""³È"",""ºì""]",³È,jackal.svg,ÖÐÎÄ (29).jpg
ying,YING,off,attack,5,"[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""ÁÑ³È"",""ºì"",""ºì""]","[""ºì"",""ºì""]",»Æ,ying.svg,ÖÐÎÄ (30).jpg
zofia,ZOFIA,off,attack,5,"[""»Æ"",""ºì"",""ºì""]","[""ÁÑ³È"",""³È"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",³È,zofia.svg,ÖÐÎÄ (31).jpg
dokkaebi,DOKKAEBI,off,attack,5,"[""»Æ"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""ºì"",""ºì""]",»Æ,dokkaebi.svg,ÖÐÎÄ (32).jpg
mira,MIRA,off,defense,6,"[""ÁÑ»Æ"",""³È"",""ºì""]","[""³È"",""ºì"",""ºì""]","[""³È"",""ºì""]",³È,mira.svg,ÖÐÎÄ (33).jpg
lesion,LESION,off,defense,5,"[""»Æ"",""»Æ"",""³È"",""ºì""]","[""³È"",""³È"",""ºì""]","[""³È"",""ºì""]",»Æ,lesion.svg,ÖÐÎÄ (34).jpg
ela,ELA,off,defense,4,"[""ÁÑ»Æ"",""»Æ"",""ºì"",""ºì""]","[""ÁÑ³È"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",»Æ,ela.svg,ÖÐÎÄ (35).jpg
vigil,VIGIL,off,defense,4,"[""»Æ"",""»Æ"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""³È"",""³È""]","[""»Æ"",""³È"",""³È""]",»Æ,vigil.svg,ÖÐÎÄ (36).jpg
lion,LION,off,attack,5,"[""»Æ"",""³È"",""³È""]","[""»Æ"",""»Æ"",""³È"",""ºì""]","[""»Æ"",""³È"",""ºì""]",»Æ,lion.svg,ÖÐÎÄ (37).jpg
finka,FINKA,off,attack,5,"[""³È"",""ºì""]","[""³È"",""³È"",""ÁÑºì"",""ºì""]","[""ÁÑ³È"",""³È"",""ºì""]",»Æ,finka.svg,ÖÐÎÄ (38).jpg
maverick,MAVERICK,off,attack,4,"[""ÁÑ»Æ"",""ºì"",""ºì""]","[""³È"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""ºì"",""ºì""]",³È,maverick.svg,ÖÐÎÄ (39).jpg
nomad,NOMAD,off,attack,5,"[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""ÁÑ³È"",""ºì"",""ºì""]","[""ºì"",""ºì""]",³È,nomad.svg,ÖÐÎÄ (40).jpg
maestro,MAESTRO,off,defense,6,"[""»Æ"",""ÁÑºì"",""ºì""]","[""³È"",""ºì"",""ºì""]","[""³È"",""ºì""]",»Æ,maestro.svg,ÖÐÎÄ (41).jpg
alibi,ALIBI,off,defense,4,"[""ÁÑ³È"",""³È"",""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""³È""]",³È,alibi.svg,ÖÐÎÄ (42).jpg
clash,CLASH,off,defense,6,"[""»Æ"",""»Æ"",""³È"",""³È""]","[""»Æ"",""»Æ"",""³È""]","[""»Æ"",""³È""]",»Æ,clash.svg,ÖÐÎÄ (43).jpg
kaid,KAID,off,defense,6,"[""ºì"",""ºì""]","[""³È"",""ºì"",""ºì""]","[""ºì"",""ºì""]",³È,kaid.svg,ÖÐÎÄ (44).jpg
gridlock,GRIDLOCK,off,attack,6,"[""ÁÑ»Æ"",""ºì"",""ºì""]","[""ÁÑ³È"",""³È"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",³È,gridlock.svg,ÖÐÎÄ (45).jpg
nokk,NOKK,off,attack,5,"[""³È"",""³È"",""ºì""]","[""³È"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",»Æ,nokk.svg,ÖÐÎÄ (46).jpg
amaru,AMARU,off,attack,5,"[""»Æ"",""³È"",""ÁÑºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""ºì"",""ºì""]",»Æ,amaru.svg,ÖÐÎÄ (47).jpg
kali,KALI,off,attack,5,"[""»Æ"",""»Æ""]","[""ÁÑ»Æ"",""»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì"",""ºì""]",³È,kali.svg,ÖÐÎÄ (48).jpg
mozzie,MOZZIE,off,defense,5,"[""³È"",""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì""]",»Æ,mozzie.svg,ÖÐÎÄ (49).jpg
warden,WARDEN,off,defense,5,"[""»Æ"",""»Æ"",""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""ºì""]",³È,warden.svg,ÖÐÎÄ (50).jpg
goyo,GOYO,off,defense,5,"[""»Æ"",""³È"",""ºì""]","[""ÁÑ»Æ"",""³È"",""³È"",""ºì""]","[""³È"",""ºì""]",³È,goyo.svg,ÖÐÎÄ (51).jpg
wamai,WAMAI,off,defense,5,"[""ÁÑ»Æ"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""ºì""]",»Æ,wamai.svg,ÖÐÎÄ (52).jpg
iana,IANA,off,attack,4,"[""»Æ"",""³È"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""³È"",""ºì""]","[""»Æ"",""³È"",""ºì""]",»Æ,iana.svg,ÖÐÎÄ (53).jpg
ace,ACE,off,attack,5,"[""»Æ"",""»Æ"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""ºì""]",»Æ,ace.svg,ÖÐÎÄ (54).jpg
zero,ZERO,off,attack,5,"[""»Æ"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""³È""]",»Æ,zero.svg,ÖÐÎÄ (55).jpg
oryx,ORYX,off,defense,5,"[""³È"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]","[""»Æ"",""»Æ"",""»Æ""]",³È,oryx.svg,ÖÐÎÄ (56).jpg
melusi,MELUSI,off,defense,4,"[""»Æ"",""»Æ"",""³È"",""ºì""]","[""»Æ"",""³È"",""ºì""]","[""»Æ"",""³È"",""ºì""]",³È,melusi.svg,ÖÐÎÄ (57).jpg
aruni,ARUNI,off,defense,5,["ºì"],"[""ÁÑ»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì"",""ºì""]",³È,aruni.svg,ÖÐÎÄ (58).jpg
thunderbird,THUNDERBIRD,off,defense,4,"[""ÁÑ³È"",""³È"",""ºì""]","[""ÁÑ³È"",""³È"",""ºì"",""ºì""]","[""³È"",""ºì""]",³È,thunderbird.svg,ÖÐÎÄ (59).jpg
flores,FLORES,off,attack,5,"[""³È"",""ºì""]","[""ÁÑ»Æ"",""³È"",""³È"",""ºì""]","[""»Æ"",""³È"",""³È""]",³È,flores.svg,ÖÐÎÄ (60).jpg
altsledge,SLEDGE,alt,attack,5,"[""³È"",""³È"",""ºì""]","[""ÁÑ»Æ"",""³È"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì""]",³È,sledge.svg,ÖÐÎÄ (61).png
altash,ASH,alt,attack,5,"[""³È"",""ºì""]","[""»Æ"",""³È"",""ºì"",""ºì""]","[""»Æ"",""ºì"",""ºì""]",»Æ,ash.svg,ÖÐÎÄ (62).jpg
altjager,JAGER,alt,defense,6,"[""»Æ"",""³È"",""ºì""]","[""³È"",""³È"",""ºì""]","[""³È"",""ºì""]",»Æ,jager.svg,ÖÐÎÄ (63).jpg
alttachanka,TACHANKA,alt,defense,6,"[""ÁÑ»Æ"",""³È"",""ºì"",""ºì""]","[""ºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",»Æ,tachanka.svg,ÖÐÎÄ (64).jpg
althibana,HIBANA,alt,attack,4,"[""ÁÑ³È"",""³È"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""³È"",""³È""]","[""»Æ"",""³È""]",³È,hibana.svg,ÖÐÎÄ (65).jpg
altcaveira,CAVEIRA,alt,defense,4,"[""ÁÑ»Æ"",""ÁÑ³È"",""³È"",""ºì""]","[""³È"",""³È"",""ºì""]","[""»Æ"",""³È"",""³È""]",»Æ,caveira.svg,ÖÐÎÄ (66).jpg
altdokkaebi,DOKKAEBI,alt,attack,4,"[""³È"",""³È"",""ºì""]","[""³È"",""ºì"",""ºì""]","[""³È"",""ºì""]",»Æ,dokkaebi.svg,ÖÐÎÄ (67).jpg
altlesion,LESION,alt,defense,5,"[""ÁÑ»Æ"",""³È"",""ºì"",""ºì""]","[""ºì"",""ºì""]","[""³È"",""ºì""]",³È,lesion.svg,ÖÐÎÄ (68).jpg
altmaverick,MAVERICK,alt,attack,5,"[""³È"",""ºì""]","[""³È"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""ºì"",""ºì""]",³È,maverick.svg,ÖÐÎÄ (69).jpg
altmaestro,MAESTRO,alt,defense,5,"[""³È"",""³È"",""ºì""]","[""ºì"",""ºì""]","[""³È"",""³È"",""ÁÑºì""]",»Æ,maestro.svg,ÖÐÎÄ (70).jpg
altnokk,NOKK,alt,attack,4,"[""»Æ"",""ÁÑ³È"",""ºì"",""ºì""]","[""ÁÑ³È"",""ºì"",""ºì""]","[""»Æ"",""ºì""]",»Æ,nokk.svg,ÖÐÎÄ (71).jpg
altmozzie,MOZZIE,alt,defense,4,"[""»Æ"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",»Æ,mozzie.svg,ÖÐÎÄ (72).jpg
altace,ACE,alt,attack,6,"[""ÁÑ³È"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",³È,ace.svg,ÖÐÎÄ (73).jpg
altmelusi,MELUSI,alt,defense,5,"[""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",»Æ,melusi.svg,ÖÐÎÄ (74).jpg
altzero,ZERO,alt,attack,5,"[""»Æ"",""»Æ"",""ºì"",""ºì""]","[""»Æ"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]",³È,zero.svg,ÖÐÎÄ (75).jpg
recruit_attack_1,RECRUIT,off,attack,4,"[""»Æ"",""»Æ"",""³È"",""³È""]","[""»Æ"",""³È"",""³È"",""ºì""]","[""ÁÑ³È"",""³È"",""ºì"",""ºì""]",³È,recruit_blue.svg,ÖÐÎÄ (76).jpg
recruit_attack_2,RECRUIT,off,attack,6,"[""ÁÑ³È"",""³È"",""ºì"",""ºì""]","[""³È"",""ºì""]","[""»Æ"",""»Æ"",""³È"",""³È""]",³È,recruit_green.svg,ÖÐÎÄ (77).jpg
recruit_defense_1,RECRUIT,off,defense,4,"[""»Æ"",""»Æ"",""³È"",""³È""]","[""»Æ"",""³È"",""³È"",""ºì""]","[""ÁÑ³È"",""³È"",""ºì"",""ºì""]",³È,recruit_orange.svg,ÖÐÎÄ (78).jpg
recruit_defense_2,RECRUIT,off,defense,6,"[""ÁÑ³È"",""³È"",""ºì"",""ºì""]","[""³È"",""ºì""]","[""»Æ"",""»Æ"",""³È"",""³È""]",³È,recruit_red.svg,ÖÐÎÄ (79).jpg
azami,AZAMI,off,defense,5,"[""»Æ"",""»Æ"",""³È"",""ºì""]","[""»Æ"",""»Æ"",""ºì""]","[""»Æ"",""»Æ"",""³È""]",»Æ,azami.svg,ÖÐÎÄ£¨80£©.png
brava,BRAVA,off,attack,5,"[""»Æ"",""ºì""]","[""»Æ"",""»Æ"",""³È"",""³È""]","[""»Æ"",""ºì"",""ºì""]",»Æ,brava.svg,ÖÐÎÄ£¨81£©.png
fenrir,FENRIR,off,defense,5,"[""»Æ"",""³È"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""»Æ"",""ÁÑ³È"",""³È""]","[""ÁÑ»Æ"",""»Æ"",""³È""]",»Æ,fenrir.svg,ÖÐÎÄ£¨82£©.png
grim,GRIM,off,attack,4,"[""ÁÑ»Æ"",""ºì"",""ºì""]","[""ÁÑ»Æ"",""³È"",""³È"",""ºì""]","[""ÁÑ»Æ"",""ºì"",""ºì""]",³È,grim.svg,ÖÐÎÄ£¨83£©.png
osa,OSA,off,attack,5,"[""»Æ"",""³È"",""³È""]","[""»Æ"",""»Æ"",""»Æ"",""³È""]","[""»Æ"",""»Æ"",""³È"",""³È""]",»Æ,osa.svg,ÖÐÎÄ£¨84£©.png
